country,year,ai_postings_share_pct
CH,2018,0.8354103
CH,2019,0.989974
CH,2020,1.0472848
CH,2021,1.1268016
CH,2022,0.95275545
CH,2023,0.7470552
CH,2024,1.0252402
CH,2025,1.5940037
DE,2018,0.53823173
DE,2019,0.58580464
DE,2020,0.50800794
DE,2021,0.82475746
DE,2022,0.9679177
DE,2023,0.8113591
DE,2024,0.8380593
DE,2025,1.1298784
FR,2018,0.3505631
FR,2019,0.3544775
FR,2020,0.4463002
FR,2021,0.69235307
FR,2022,0.8566496
FR,2023,0.7389364
FR,2024,0.7623889
FR,2025,0.9880101
PL,2018,0.19608219
PL,2019,0.35039598
PL,2020,0.35091656
PL,2021,0.7808614
PL,2022,1.0283303
PL,2023,0.918272
PL,2024,1.7049537
PL,2025,2.9166508
